,Screen_name,Name,Number_of_Followers,Location,Url,description,profile_image,Category
0,@michele_geraci,"Prof Michele Geraci, fmr Undersecretary of State",9091.0,"Roma, Shanghai, Londra, NY",https://t.co/XtSQcDhXsW,"𝗔𝘀 𝗹𝗼𝗻𝗴 𝗮𝘀 𝗽𝗼𝘃𝗲𝗿𝘁𝘆, 𝗶𝗻𝗷𝘂𝘀𝘁𝗶𝗰𝗲 𝗮𝗻𝗱 𝗶𝗻𝗲𝗾𝘂𝗮𝗹𝗶𝘁𝘆 𝗽𝗲𝗿𝘀𝗶𝘀𝘁 𝗶𝗻 𝗼𝘂𝗿 𝘄𝗼𝗿𝗹𝗱, 𝗻𝗼𝗻𝗲 𝗼𝗳 𝘂𝘀 𝗰𝗮𝗻 𝐫𝐞𝐬𝐭",https://pbs.twimg.com/profile_images/1367523617693523968/MFkLQ5wS_normal.jpg,Fashion
1,@RevistaMercados,Mercados,19133.0,"Sevilla, Spain",http://t.co/uqpVH4o33s,"Revista especializada en el sector de frutas y hortalizas a nivel nacional e internacional, con información y análisis diarios del sector.",https://pbs.twimg.com/profile_images/1269995764140384257/qGTkyuYV_normal.jpg,Fashion
2,@Jilliemary,Jillian Peeling,163328.0,County Durham,,"Not very good at house work, but I keep trying. I am a middle aged woman still figuring out what I want to be when I grow up.Vice President of @2OCT2014",https://pbs.twimg.com/profile_images/2475715699/j0ryzpry0edymr504mhm_normal.jpeg,Fashion
3,@soniamugabo,Sonia Mugabo,8574.0,Rwanda,https://t.co/RCsiPOr2m9,"Destination for the fashion girl’s essentials | Made in Rwanda 🇷🇼 | Gishushu, 43 KG 599 ST",https://pbs.twimg.com/profile_images/939475395866447872/6TZUTyvq_normal.jpg,Fashion
4,@elicanngango,Ngango Elican 🇷🇼,7248.0,Rwanda,,"#Rwanda is my past, my present and my future.|| #TeamPK|| Music 🎼 is life itself.|| There are only two games: ⚽️ and others.|| Co-owner: @nkn_sports",https://pbs.twimg.com/profile_images/1386386571822354434/0qrIk3p-_normal.jpg,Fashion
5,@researchmrx,MRX,7457.0,New Jersey,,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",https://pbs.twimg.com/profile_images/1082501359629287424/wxvBLPtH_normal.jpg,Fashion
6,@AntiquingOnLine,AntiquingOnLine,15378.0,,https://t.co/OgDnPyxtMG,Offering quality #antique & #vintage #jewelry for sale. View our exceptional collection at http://t.co/wi3lj9iTBn You'll be glad you did!,https://pbs.twimg.com/profile_images/633715990841454592/Uk5sB63I_normal.png,Fashion
8,@EricStoffle,Eric Stoffle,21161.0,,https://t.co/1ejSGUpYkz,I write thrillers and more. Trading Lives is about a young woman with a good heart but deadly hands! I'd love it if you gave it a read and give your feedback.,https://pbs.twimg.com/profile_images/977974904455770112/pJ7VGMkI_normal.jpg,Fashion
9,@2ta_204,آيات,13723.0,Sudan,https://t.co/wF6cIn08v5,‏‏‏‏‏طالو الناس التريانين ...  ضلّو الله الما ضلّانا,https://pbs.twimg.com/profile_images/1355983284006739969/07ZUjbKE_normal.jpg,Fashion
10,@BrendaOak4,Brenda Marsh,11955.0,"Fort Wayne, IN",https://t.co/pxwxlpKroM,"Etsy Shop Hand Painted Porcelain and Vintage 
 https://t.co/pxwxlpKroM",https://pbs.twimg.com/profile_images/563169873522466816/2S7a5Sqs_normal.jpeg,Fashion
